date_received,pair,start_time,sell_time,real_profit_%,profit_range_%,platform
2025-08-02 10:38,USDT->wstETH->USDT,10:40,10:43,1.85,1.57-1.89,1inch
2025-08-01 15:53,USDT->BET->USDT,15:54,15:57,1.75,1.67-2.00,Sushi
2025-07-30 13:49,USDT->WPOL->USDT,13:50,13:53,-0.68,1.53-1.77,Sushi
2025-07-30 12:03,USDT->wstETH->USDT,12:06,12:09,1.78,1.67-1.91,1inch
2025-07-30 09:31,USDT->BET->USDT,09:33,09:36,1.84,1.77-2.01,Sushi
2025-07-29 14:52,USDT->FRAX->USDT,14:54,14:58,1.85,1.65-1.99,Sushi
2025-07-28 13:26,USDT->wstETH->USDT,13:29,13:33,1.85,1.80-2.11,1inch
2025-07-28 10:38,USDT->BET->USDT,10:40,10:44,1.29,1.65-1.91,Sushi
2025-07-26 09:42,USDT->FRAX->USDT,09:45,09:49,1.98,1.75-2.09,Sushi
2025-07-25 14:05,USDT->tBTC->USDT,14:08,14:12,1.90,1.71-2.19,1inch
2025-07-25 10:07,USDT->SAND->USDT,10:09,10:12,1.75,1.75-1.98,Sushi
2025-07-24 10:00,USDT->BET->USDT,10:02,10:06,1.79,1.67-2.13,Sushi
2025-07-23 09:11,USDT->wstETH->USDT,09:14,09:18,1.79,1.73-2.02,Sushi
2025-07-22 15:08,USDT->FRAX->USDT,15:11,15:14,1.93,1.87-2.12,Sushi
2025-07-17 15:47,USDT->FRAX->USDT,15:49,15:53,2.53,1.73-2.11,Sushi
2025-07-17 09:20,USDT->EMT->USDT,09:22,09:25,1.65,1.65-1.91,Sushi
2025-07-16 16:58,USDT->AAVE->USDT,17:00,17:03,-1.04,1.65-1.99,Uniswap
2025-07-16 11:51,USDT->LDO->USDT,11:53,11:56,1.65,1.75-1.91,Uniswap
2025-07-16 09:20,USDT->BET->USDT,09:22,09:26,1.99,1.84-2.16,Uniswap
2025-07-15 14:59,USDT->wstETH->USDT,15:02,15:06,2.76,1.67-1.92,1inch
2025-07-14 17:23,USDT->BET->USDT,17:24,17:27,2.08,1.64-2.07,Sushi
2025-07-14 10:36,USDT->GMT->USDT,10:38,10:41,1.76,1.67-2.17,Sushi
2025-07-12 10:51,USDT->Link->USDT,10:54,10:57,-0.65,1.55-1.87,Sushi
2025-07-12 09:48,USDT->wstETH->USDT,09:50,09:54,2.17,1.86-2.18,Sushi
2025-07-11 15:02,USDT->LDO->USDT,15:06,15:09,2.22,1.73-2.13,Sushi
2025-07-11 09:28,USDT->FRAX->USDT,09:28,09:31,3.12,1.65-2.02,Sushi
2025-07-10 15:39,USDT->BET->USDT,15:43,15:46,2.38,1.71-2.03,Uniswap
2025-07-09 13:57,USDT->BET->USDT,13:59,14:02,2.23,1.76-2.14,Sushi
2025-07-09 09:36,USDT->SAND->USDT,09:39,09:42,2.56,1.81-2.12,1inch
2025-07-08 14:52,USDT->LDO->USDT,14:56,14:59,1.79,1.85-2.20,Sushi
2025-07-08 11:31,USDT->GMT->USDT,11:35,11:38,2.02,1.76-2.12,1inch
2025-07-08 10:08,USDT->EMT->USDT,10:11,10:14,1.83,1.63-2.04,1inch
