date;token;start_time;end_time;timing_min;platform;profit_forecast_min;profit_forecast_max;profit_real;result
2025-07-24;BET;10:02;10:06;4;Sushi;1.67;2.13;1.79;1
2025-07-23;wstETH;09:14;09:18;4;Sushi;1.73;2.02;1.79;1
2025-07-22;FRAX;15:11;15:14;3;Sushi;1.87;2.12;1.93;1
2025-07-17;FRAX;15:49;15:53;4;Sushi;1.73;2.11;2.53;1
2025-07-17;EMT;09:22;09:25;3;Sushi;1.65;1.91;1.65;1
2025-07-16;AAVE;17:00;17:03;3;Uniswap;1.65;1.99;-1.04;0
2025-07-16;LDO;11:53;11:56;3;Uniswap;1.75;1.91;1.65;1
2025-07-16;BET;09:22;09:26;4;Uniswap;1.84;2.16;1.99;1
2025-07-15;wstETH;15:02;15:06;4;1inch;1.67;1.92;2.76;1
2025-07-14;BET;17:24;17:27;3;Sushi;1.64;2.07;2.08;1
2025-07-14;GMT;10:38;10:41;3;Sushi;1.67;2.17;1.76;1
2025-07-12;Link;10:54;10:57;3;Sushi;1.55;1.87;-0.65;0
2025-07-12;wstETH;09:50;09:54;4;Sushi;1.86;2.18;2.17;1
2025-07-11;LDO;15:06;15:09;3;Sushi;1.73;2.13;2.22;1
2025-07-11;FRAX;09:28;09:31;3;Sushi;1.65;2.02;3.12;1
2025-07-10;BET;15:43;15:46;3;Uniswap;1.71;2.03;2.38;1
2025-07-09;BET;13:59;14:02;4;Sushi;1.76;2.14;2.23;1
2025-07-09;SAND;09:39;09:42;3;1inch;1.81;2.12;2.56;1
2025-07-08;LDO;14:56;14:59;3;Sushi;1.85;2.20;1.79;1
2025-07-08;GMT;11:35;11:38;3;1inch;1.76;2.12;2.02;1
2025-07-08;EMT;10:11;10:14;3;1inch;1.63;2.04;1.83;1
